"installation_cost","cumcap","year","prog"
"1449",1221.14472101573,641.179948154782,"2035","IPCC (2014)"
"1450",1144.03284001171,810.2870542273,"2040","IPCC (2014)"
"1451",1069.5693067315,1031.39469262517,"2045","IPCC (2014)"
"1452",997.963561803385,1321.97321833354,"2050","IPCC (2014)"
"1453",944.631718531445,1609.20231056007,"2055","IPCC (2014)"
"1454",889.517570222106,1995.41499588259,"2060","IPCC (2014)"
"1455",885,2605.20741458644,"2065","IPCC (2014)"
"1456",885,3289.80851440635,"2070","IPCC (2014)"
"1457",885,3939.8897847847,"2075","IPCC (2014)"
"1458",885,4672.52645767076,"2080","IPCC (2014)"
"1459",885,5467.96960385976,"2085","IPCC (2014)"
"1460",885,6336.95677887856,"2090","IPCC (2014)"
"1461",885,7276.41499698905,"2095","IPCC (2014)"
"1462",885,8276.918963484,"2100","IPCC (2014)"
"1463",1504.63643693418,5478.34572988014,"2040","IPCC (2014)"
"1464",1064.640146307,6958.28042453143,"2050","IPCC (2014)"
"1465",4247.34737933329,1.74073276720293,"2010","IPCC (2014)"
"1466",3572.75646886876,12.3748212176118,"2015","IPCC (2014)"
"1467",3005.30840812767,269.724592160455,"2020","IPCC (2014)"
"1468",2527.98608110863,281.728325850191,"2025","IPCC (2014)"
"1469",2126.47514300842,302.998234575767,"2030","IPCC (2014)"
"1470",1504.63643693418,3848.89621578661,"2040","IPCC (2014)"
"1471",1064.640146307,6068.78435649955,"2050","IPCC (2014)"
"1472",9310.2,3.895,"2005","IPCC (2014)"
"1473",9268.9,6.414,"2010","IPCC (2014)"
"1474",9021.1,8.649,"2015","IPCC (2014)"
"1475",8674.18,10.42,"2020","IPCC (2014)"
"1476",8275.34,12.79,"2025","IPCC (2014)"
"1477",7809.24,15.96,"2030","IPCC (2014)"
"1478",7111.86,22.96,"2035","IPCC (2014)"
"1479",6353.12,33.98,"2040","IPCC (2014)"
"1480",5619.16,50.79,"2045","IPCC (2014)"
"1481",5003.2,72.65,"2050","IPCC (2014)"
"1482",4167.76,125.6,"2060","IPCC (2014)"
"1483",3588.38,196.5,"2070","IPCC (2014)"
"1484",3121.1,296.2,"2080","IPCC (2014)"
"1485",2791.88,409.5,"2090","IPCC (2014)"
"1486",2620.78,490.9,"2100","IPCC (2014)"
"1487",9310.2,3.867,"2005","IPCC (2014)"
"1488",9278.34,6.327,"2010","IPCC (2014)"
"1489",9034.08,8.527,"2015","IPCC (2014)"
"1490",8588.04,10.93,"2020","IPCC (2014)"
"1491",7824.58,16.72,"2025","IPCC (2014)"
"1492",6670.54,28.43,"2030","IPCC (2014)"
"1493",5619.16,53.18,"2035","IPCC (2014)"
"1494",4801.42,84.5,"2040","IPCC (2014)"
"1495",4249.18,119.9,"2045","IPCC (2014)"
"1496",3885.74,155.1,"2050","IPCC (2014)"
"1497",3388.96,231.9,"2060","IPCC (2014)"
"1498",2981.86,338.6,"2070","IPCC (2014)"
"1499",2665.62,468.7,"2080","IPCC (2014)"
"1500",2414.28,627.3,"2090","IPCC (2014)"
"1501",2238.46,776,"2100","IPCC (2014)"
"1502",9310.2,3.895,"2005","IPCC (2014)"
"1503",9271.26,6.453,"2010","IPCC (2014)"
"1504",9015.2,8.751,"2015","IPCC (2014)"
"1505",8497.18,11.68,"2020","IPCC (2014)"
"1506",7541.38,20.06,"2025","IPCC (2014)"
"1507",6140.72,37.74,"2030","IPCC (2014)"
"1508",5009.1,78.68,"2035","IPCC (2014)"
"1509",4148.88,134.5,"2040","IPCC (2014)"
"1510",3571.86,204.9,"2045","IPCC (2014)"
"1511",3167.12,289.2,"2050","IPCC (2014)"
"1512",2605.44,507,"2060","IPCC (2014)"
"1513",2206.6,818.6,"2070","IPCC (2014)"
"1514",1922.22,1216,"2080","IPCC (2014)"
"1515",1679.14,1812,"2090","IPCC (2014)"
"1516",1532.82,2565.16666666667,"2100","IPCC (2014)"
"1517",9310.2,3.867,"2005","IPCC (2014)"
"1518",9278.34,6.301,"2010","IPCC (2014)"
"1519",9048.24,8.417,"2015","IPCC (2014)"
"1520",8726.1,10.03,"2020","IPCC (2014)"
"1521",8376.82,12.02,"2025","IPCC (2014)"
"1522",7995.68,14.44,"2030","IPCC (2014)"
"1523",7416.3,19.39,"2035","IPCC (2014)"
"1524",6700.04,28.2,"2040","IPCC (2014)"
"1525",5916.52,43.2,"2045","IPCC (2014)"
"1526",5199.08,65.11,"2050","IPCC (2014)"
"1527",4170.12,126,"2060","IPCC (2014)"
"1528",3560.06,200.5,"2070","IPCC (2014)"
"1529",3111.66,297.2,"2080","IPCC (2014)"
"1530",2770.64,417.5,"2090","IPCC (2014)"
"1531",2593.64,504.4,"2100","IPCC (2014)"
"1532",2425.86545454545,36.437,"2020","IPCC (2014)"
"1533",1923.07818181818,123.368,"2030","IPCC (2014)"
"1534",1630.33090909091,511.257,"2040","IPCC (2014)"
"1535",1464.48727272727,1441.39,"2050","IPCC (2014)"
"1536",1369.98,3225.499,"2060","IPCC (2014)"
"1537",1314.52,5509.109,"2070","IPCC (2014)"
"1538",1283.84,8472.466,"2080","IPCC (2014)"
"1539",1267.32,12077.183,"2090","IPCC (2014)"
"1540",1256.7,16105.228,"2100","IPCC (2014)"
"1541",2425.86545454545,22.98,"2020","IPCC (2014)"
"1542",1923.07818181818,22.98,"2030","IPCC (2014)"
"1543",1630.33090909091,41.282,"2040","IPCC (2014)"
"1544",1464.48727272727,138.015,"2050","IPCC (2014)"
"1545",1369.98,396.995,"2060","IPCC (2014)"
"1546",1314.52,1018.19,"2070","IPCC (2014)"
"1547",1283.84,1976.14,"2080","IPCC (2014)"
"1548",1267.32,3207.425,"2090","IPCC (2014)"
"1549",1256.7,4698.576,"2100","IPCC (2014)"
"1550",8536.52735351562,21.8036811523437,"2010","IPCC (2014)"
"1551",5556.29619140625,144.259022949219,"2020","IPCC (2014)"
"1552",2677.82476074219,1304.22350732422,"2030","IPCC (2014)"
"1553",1730.93453857422,3627.67088232422,"2040","IPCC (2014)"
"1554",1529.09303222656,6308.36113232422,"2050","IPCC (2014)"
"1555",1446.14876953125,9379.24013232422,"2060","IPCC (2014)"
"1556",1403.04319091797,12965.0771323242,"2070","IPCC (2014)"
"1557",1378.77612792969,17092.6871323242,"2080","IPCC (2014)"
"1558",1364.66553466797,21788.1491323242,"2090","IPCC (2014)"
"1559",1356.24132568359,27088.5091323242,"2100","IPCC (2014)"
"1560",3315.86018,39.34,"2010","IPCC (2014)"
"1561",2524.9994,116.161,"2015","IPCC (2014)"
"1562",2102.20304,248.817,"2020","IPCC (2014)"
"1563",1755.20988,561.304,"2025","IPCC (2014)"
"1564",1509.86664,1197.261,"2030","IPCC (2014)"
"1565",1347.0113,2285.399,"2035","IPCC (2014)"
"1566",1236.3804,3939.417,"2040","IPCC (2014)"
"1567",1157.64254,6273.133,"2045","IPCC (2014)"
"1568",1099.19832,9398.667,"2050","IPCC (2014)"
"1569",1012.45298,18316.289,"2060","IPCC (2014)"
"1570",969.93522,30724.084,"2070","IPCC (2014)"
"1571",935.03672,47303.802,"2080","IPCC (2014)"
"1572",910.46558,67145.556,"2090","IPCC (2014)"
"1573",892.84936,88994.645,"2100","IPCC (2014)"
"1574",3315.86018,39.34,"2010","IPCC (2014)"
"1575",2787.63082,78.189,"2015","IPCC (2014)"
"1576",2787.59542,78.193,"2020","IPCC (2014)"
"1577",2786.44964,78.321,"2025","IPCC (2014)"
"1578",2764.55474,80.814,"2030","IPCC (2014)"
"1579",2646.78248,96.126,"2035","IPCC (2014)"
"1580",2365.66164,151.502,"2040","IPCC (2014)"
"1581",2006.89444,304.45,"2045","IPCC (2014)"
"1582",1699.66138,655.145,"2050","IPCC (2014)"
"1583",1314.39964,2354.861,"2060","IPCC (2014)"
"1584",1172.40198,5713.867,"2070","IPCC (2014)"
"1585",1077.91348,11065.976,"2080","IPCC (2014)"
"1586",1023.28066,17698.49,"2090","IPCC (2014)"
"1587",990.3445,24552.337,"2100","IPCC (2014)"
"1588",3315.86018,39.34,"2010","IPCC (2014)"
"1589",3921.37246,78.19,"2015","IPCC (2014)"
"1590",3921.317,78.2,"2020","IPCC (2014)"
"1591",3921.26272,78.211,"2025","IPCC (2014)"
"1592",3921.2108,78.221,"2030","IPCC (2014)"
"1593",3921.14826,78.233,"2035","IPCC (2014)"
"1594",3918.6856,78.713,"2040","IPCC (2014)"
"1595",3911.15366,80.207,"2045","IPCC (2014)"
"1596",3905.29614,81.396,"2050","IPCC (2014)"
"1597",3902.42874,81.951,"2060","IPCC (2014)"
"1598",3896.41074,83.247,"2070","IPCC (2014)"
"1599",3884.26028,85.874,"2080","IPCC (2014)"
"1600",3876.6481,87.579,"2090","IPCC (2014)"
"1601",3868.10844,89.549,"2100","IPCC (2014)"
"1602",3317.45672,39.265,"2010","IPCC (2014)"
"1603",2715.66852,86.757,"2015","IPCC (2014)"
"1604",2643.4242,96.615,"2020","IPCC (2014)"
"1605",2635.6893,97.755,"2025","IPCC (2014)"
"1606",2635.67396,97.758,"2030","IPCC (2014)"
"1607",2633.25496,98.117,"2035","IPCC (2014)"
"1608",2607.84248,102.006,"2040","IPCC (2014)"
"1609",2484.25754,124.067,"2045","IPCC (2014)"
"1610",2203.34202,203.684,"2050","IPCC (2014)"
"1611",1526.42322,952.622,"2060","IPCC (2014)"
"1612",1238.47372,3894.92,"2070","IPCC (2014)"
"1613",1080.25342,10863.918,"2080","IPCC (2014)"
"1614",998.22454,22621.24,"2090","IPCC (2014)"
"1615",952.46414,37812.617,"2100","IPCC (2014)"
"1616",2649.33472056808,37.5389000359251,"2010","IPCC (2014)"
"1617",1781.43765238321,164.322684170571,"2015","IPCC (2014)"
"1618",1625.39250915306,229.139926261652,"2020","IPCC (2014)"
"1619",1515.69632576013,294.942986520646,"2025","IPCC (2014)"
"1620",1429.60897800232,364.140605841971,"2030","IPCC (2014)"
"1621",1359.19580416502,436.718520111993,"2035","IPCC (2014)"
"1622",1299.53139122262,513.181331518647,"2040","IPCC (2014)"
"1623",1247.11577598061,594.944296586268,"2045","IPCC (2014)"
"1624",1200.7671271785,681.549013500744,"2050","IPCC (2014)"
"1625",1159.26822506942,773.172838185916,"2055","IPCC (2014)"
"1626",1121.86502649748,869.62597219185,"2060","IPCC (2014)"
"1627",1087.75163412928,971.371679707136,"2065","IPCC (2014)"
"1628",1056.66217501184,1077.69268853668,"2070","IPCC (2014)"
"1629",1027.82298295436,1189.95337513603,"2075","IPCC (2014)"
"1630",1001.07994297025,1307.73569501173,"2080","IPCC (2014)"
"1631",975.402077583992,1435.20009951721,"2085","IPCC (2014)"
"1632",950.976890218361,1571.54211580197,"2090","IPCC (2014)"
"1633",927.621005671745,1717.77375080203,"2095","IPCC (2014)"
"1634",905.438589169416,1873.14036076266,"2100","IPCC (2014)"
"1635",2649.33472056808,37.5389000359251,"2010","IPCC (2014)"
"1636",1778.32407324111,165.371385399014,"2015","IPCC (2014)"
"1637",1547.74615231852,273.487543632807,"2020","IPCC (2014)"
"1638",1373.62390940933,420.443332363975,"2025","IPCC (2014)"
"1639",1254.84573279429,581.88181705919,"2030","IPCC (2014)"
"1640",1149.72424250445,796.370320066767,"2035","IPCC (2014)"
"1641",1047.12404649587,1113.15210506945,"2040","IPCC (2014)"
"1642",953.855621549134,1554.44026475146,"2045","IPCC (2014)"
"1643",885,2091.39305596185,"2050","IPCC (2014)"
"1644",885,2784.89724686786,"2055","IPCC (2014)"
"1645",885,3369.31544848588,"2060","IPCC (2014)"
"1646",885,3966.92907306266,"2065","IPCC (2014)"
"1647",885,4596.08085646241,"2070","IPCC (2014)"
"1648",885,5236.06603463824,"2075","IPCC (2014)"
"1649",885,5861.96000709452,"2080","IPCC (2014)"
"1650",885,6490.47695677624,"2085","IPCC (2014)"
"1651",885,7133.76117152578,"2090","IPCC (2014)"
"1652",885,7801.01031060138,"2095","IPCC (2014)"
"1653",885,8502.59581048657,"2100","IPCC (2014)"
"1654",2649.36581667739,37.5372002691791,"2010","IPCC (2014)"
"1655",1781.43972729807,164.321979836107,"2015","IPCC (2014)"
"1656",1556.76251148751,267.811221545959,"2020","IPCC (2014)"
"1657",1397.16861506168,395.506097116598,"2025","IPCC (2014)"
"1658",1298.66742734882,514.409158249914,"2030","IPCC (2014)"
"1659",1173.92395801898,738.656474106442,"2035","IPCC (2014)"
"1660",1062.44107223261,1056.31444509697,"2040","IPCC (2014)"
"1661",967.148571844345,1478.90365437222,"2045","IPCC (2014)"
"1662",890.214832383387,1989.54624972646,"2050","IPCC (2014)"
"1663",885,2662.8242115222,"2055","IPCC (2014)"
"1664",885,3274.69746933985,"2060","IPCC (2014)"
"1665",885,3876.6024902075,"2065","IPCC (2014)"
"1666",885,4506.86403005522,"2070","IPCC (2014)"
"1667",885,5154.33812904849,"2075","IPCC (2014)"
"1668",885,5800.98858975726,"2080","IPCC (2014)"
"1669",885,6450.50774747824,"2085","IPCC (2014)"
"1670",885,7112.82589682458,"2090","IPCC (2014)"
"1671",885,7799.33215610521,"2095","IPCC (2014)"
"1672",885,8513.82643429867,"2100","IPCC (2014)"
"1673",2649.3345975465,37.5389067606771,"2010","IPCC (2014)"
"1674",1781.43764417429,164.322686924424,"2015","IPCC (2014)"
"1675",1556.48534158232,267.983507259198,"2020","IPCC (2014)"
"1676",1410.93620223428,381.79147671281,"2025","IPCC (2014)"
"1677",1300.46732695126,511.855654084718,"2030","IPCC (2014)"
"1678",1196.01971853435,691.344521599174,"2035","IPCC (2014)"
"1679",1079.84624763072,997.129474387999,"2040","IPCC (2014)"
"1680",978.377881804053,1419.67848391072,"2045","IPCC (2014)"
"1681",898.661222251914,1924.2044919106,"2050","IPCC (2014)"
"1682",885,2580.96208856398,"2055","IPCC (2014)"
"1683",885,3201.53045116339,"2060","IPCC (2014)"
"1684",885,3801.05179724314,"2065","IPCC (2014)"
"1685",885,4429.77324076162,"2070","IPCC (2014)"
"1686",885,5074.27277270236,"2075","IPCC (2014)"
"1687",885,5726.29277726157,"2080","IPCC (2014)"
"1688",885,6368.62941028228,"2085","IPCC (2014)"
"1689",885,7019.71062182467,"2090","IPCC (2014)"
"1690",885,7690.8979230605,"2095","IPCC (2014)"
"1691",885,8388.6505265503,"2100","IPCC (2014)"
"1692",2649.35382871767,37.5378555408455,"2010","IPCC (2014)"
"1693",1781.43892740294,164.32224756521,"2015","IPCC (2014)"
"1694",1555.130166874,268.827837984898,"2020","IPCC (2014)"
"1695",1412.5297534644,380.243274201616,"2025","IPCC (2014)"
"1696",1307.01176640181,502.707667546009,"2030","IPCC (2014)"
"1697",1227.76554457942,629.26674439608,"2035","IPCC (2014)"
"1698",1149.45370581232,797.18334624915,"2040","IPCC (2014)"
"1699",1079.92159103253,996.919019376873,"2045","IPCC (2014)"
"1700",1012.48484076765,1255.88219232823,"2050","IPCC (2014)"
"1701",953.289760969574,1558.08082830383,"2055","IPCC (2014)"
"1702",899.150407161622,1920.59071206038,"2060","IPCC (2014)"
"1703",885,2419.46525111418,"2065","IPCC (2014)"
"1704",885,2908.06618921625,"2070","IPCC (2014)"
"1705",885,3389.11183946486,"2075","IPCC (2014)"
"1706",885,3902.20887965448,"2080","IPCC (2014)"
"1707",885,4461.82052371965,"2085","IPCC (2014)"
"1708",885,5112.42657778615,"2090","IPCC (2014)"
"1709",885,5761.27500270892,"2095","IPCC (2014)"
"1710",885,6450.64394980262,"2100","IPCC (2014)"
"1711",2649.3345975465,37.5389067606771,"2010","IPCC (2014)"
"1712",1781.43764417429,164.322686924424,"2015","IPCC (2014)"
"1713",1556.48534158232,267.983507259198,"2020","IPCC (2014)"
"1714",1410.93620223428,381.79147671281,"2025","IPCC (2014)"
"1715",1300.46732695126,511.855654084718,"2030","IPCC (2014)"
"1716",1218.31901083062,646.974334549308,"2035","IPCC (2014)"
"1717",1138.60333803206,824.66921843885,"2040","IPCC (2014)"
"1718",1065.28402859641,1046.77751071855,"2045","IPCC (2014)"
"1719",996.149991875389,1331.0496208633,"2050","IPCC (2014)"
"1720",942.454379670551,1622.9852635268,"2055","IPCC (2014)"
"1721",886.072135595817,2023.75005967489,"2060","IPCC (2014)"
"1722",885,2655.59779272714,"2065","IPCC (2014)"
"1723",885,3324.32366744143,"2070","IPCC (2014)"
"1724",885,3962.56457671902,"2075","IPCC (2014)"
"1725",885,4689.61193582461,"2080","IPCC (2014)"
"1726",885,5478.85717554615,"2085","IPCC (2014)"
"1727",885,6337.30616579138,"2090","IPCC (2014)"
"1728",885,7252.76811181359,"2095","IPCC (2014)"
"1729",885,8227.78346836494,"2100","IPCC (2014)"
"1730",2527.98608110863,12.5849320046193,"2025","IPCC (2014)"
"1731",2126.47514300842,686.411708877562,"2030","IPCC (2014)"
"1732",1504.63643693418,4353.22224144167,"2040","IPCC (2014)"
"1733",1064.640146307,7832.5394213092,"2050","IPCC (2014)"
"1734",2126.47514300842,31.9138073928799,"2030","IPCC (2014)"
"1735",1504.63643693418,19941.5566906094,"2040","IPCC (2014)"
"1736",1064.640146307,32620.1370049677,"2050","IPCC (2014)"
"1737",9310.2,3.868,"2005","IPCC (2014)"
"1738",9278.34,6.303,"2010","IPCC (2014)"
"1739",9047.06,8.423,"2015","IPCC (2014)"
"1740",8714.3,10.1,"2020","IPCC (2014)"
"1741",8327.26,12.36,"2025","IPCC (2014)"
"1742",7882.4,15.29,"2030","IPCC (2014)"
"1743",7332.52,20.14,"2035","IPCC (2014)"
"1744",6747.24,27.01,"2040","IPCC (2014)"
"1745",6186.74,36.21,"2045","IPCC (2014)"
"1746",5686.42,47.63,"2050","IPCC (2014)"
"1747",4879.3,76.64,"2060","IPCC (2014)"
"1748",4290.48,112.5,"2070","IPCC (2014)"
"1749",3807.86,159.3,"2080","IPCC (2014)"
"1750",3390.14,224.3,"2090","IPCC (2014)"
"1751",3156.5,275.1,"2100","IPCC (2014)"
"1752",9310.2,3.895,"2005","IPCC (2014)"
"1753",9270.08,6.455,"2010","IPCC (2014)"
"1754",9004.58,8.807,"2015","IPCC (2014)"
"1755",8444.08,12.05,"2020","IPCC (2014)"
"1756",7574.42,19.07,"2025","IPCC (2014)"
"1757",6615.08,29.32,"2030","IPCC (2014)"
"1758",5850.44,45.34,"2035","IPCC (2014)"
"1759",5134.18,68.22,"2040","IPCC (2014)"
"1760",4521.76,100.1,"2045","IPCC (2014)"
"1761",4002.56,144.9,"2050","IPCC (2014)"
"1762",3217.86,273.4,"2060","IPCC (2014)"
"1763",2726.98,440.9,"2070","IPCC (2014)"
"1764",2401.3,637.3,"2080","IPCC (2014)"
"1765",2105.12,936.9,"2090","IPCC (2014)"
"1766",1906.88,1236,"2100","IPCC (2014)"
"1767",9310.2,3.895,"2005","IPCC (2014)"
"1768",9270.08,6.406,"2010","IPCC (2014)"
"1769",9027,8.616,"2015","IPCC (2014)"
"1770",8690.7,10.33,"2020","IPCC (2014)"
"1771",8329.62,12.42,"2025","IPCC (2014)"
"1772",7948.48,14.89,"2030","IPCC (2014)"
"1773",7382.08,19.84,"2035","IPCC (2014)"
"1774",6618.62,29.89,"2040","IPCC (2014)"
"1775",5671.08,51.63,"2045","IPCC (2014)"
"1776",4729.44,91.52,"2050","IPCC (2014)"
"1777",3456.22,224.7,"2060","IPCC (2014)"
"1778",2852.06,387.2,"2070","IPCC (2014)"
"1779",2441.42,611.1,"2080","IPCC (2014)"
"1780",2103.94,934.1,"2090","IPCC (2014)"
"1781",1948.18,1158,"2100","IPCC (2014)"
"1782",9310.2,3.943,"2005","IPCC (2014)"
"1783",9298.4,6.57,"2010","IPCC (2014)"
"1784",9081.28,9.229,"2015","IPCC (2014)"
"1785",8737.9,11.91,"2020","IPCC (2014)"
"1786",8353.22,15.56,"2025","IPCC (2014)"
"1787",7947.3,20.16,"2030","IPCC (2014)"
"1788",7484.74,27.25,"2035","IPCC (2014)"
"1789",7037.52,36.21,"2040","IPCC (2014)"
"1790",6628.06,47.61,"2045","IPCC (2014)"
"1791",6250.46,62.06,"2050","IPCC (2014)"
"1792",5608.54,99.24,"2060","IPCC (2014)"
"1793",5142.44,142.8,"2070","IPCC (2014)"
"1794",4783.72,193.3,"2080","IPCC (2014)"
"1795",4447.42,264.1,"2090","IPCC (2014)"
"1796",4250.36,319.4,"2100","IPCC (2014)"
"1797",9310.2,3.943,"2005","IPCC (2014)"
"1798",9298.4,6.57,"2010","IPCC (2014)"
"1799",9081.28,9.229,"2015","IPCC (2014)"
"1800",8737.9,11.91,"2020","IPCC (2014)"
"1801",8353.22,15.56,"2025","IPCC (2014)"
"1802",7947.3,20.15,"2030","IPCC (2014)"
"1803",7484.74,27.26,"2035","IPCC (2014)"
"1804",7036.34,36.22,"2040","IPCC (2014)"
"1805",6630.42,47.5,"2045","IPCC (2014)"
"1806",6258.72,61.62,"2050","IPCC (2014)"
"1807",5627.42,97.74,"2060","IPCC (2014)"
"1808",5156.6,141.1,"2070","IPCC (2014)"
"1809",4793.16,191.7,"2080","IPCC (2014)"
"1810",4458.04,261.5,"2090","IPCC (2014)"
"1811",4263.34,315.3,"2100","IPCC (2014)"
"1812",9310.2,3.895,"2005","IPCC (2014)"
"1813",9267.72,6.416,"2010","IPCC (2014)"
"1814",9005.76,8.728,"2015","IPCC (2014)"
"1815",8618.72,10.75,"2020","IPCC (2014)"
"1816",8147.9,13.71,"2025","IPCC (2014)"
"1817",7576.78,17.94,"2030","IPCC (2014)"
"1818",6820.4,26.81,"2035","IPCC (2014)"
"1819",6062.84,39.78,"2040","IPCC (2014)"
"1820",5373.72,58.62,"2045","IPCC (2014)"
"1821",4747.14,86.84,"2050","IPCC (2014)"
"1822",3661.54,190.2,"2060","IPCC (2014)"
"1823",2931.12,361.7,"2070","IPCC (2014)"
"1824",2463.84,598.1,"2080","IPCC (2014)"
"1825",2044.94,1036,"2090","IPCC (2014)"
"1826",1812.48,1437,"2100","IPCC (2014)"
"1827",8937.32,0.5813,"2005","IPCC (2014)"
"1828",8998.68,0.9787,"2010","IPCC (2014)"
"1829",7687.7,46.88,"2015","IPCC (2014)"
"1830",6393.24,63.42,"2020","IPCC (2014)"
"1831",5704.12,78.64,"2025","IPCC (2014)"
"1832",5203.8,95.11,"2030","IPCC (2014)"
"1833",4640.94,119.6,"2035","IPCC (2014)"
"1834",4003.74,159.7,"2040","IPCC (2014)"
"1835",3396.04,223.1,"2045","IPCC (2014)"
"1836",2916.96,314.7,"2050","IPCC (2014)"
"1837",2311.62,589.5,"2060","IPCC (2014)"
"1838",1905.7,1019,"2070","IPCC (2014)"
"1839",1602.44,1666,"2080","IPCC (2014)"
"1840",1392.4,2504,"2090","IPCC (2014)"
"1841",1285.02,3158,"2100","IPCC (2014)"
"1842",8937.32,0.5813,"2005","IPCC (2014)"
"1843",8998.68,0.9787,"2010","IPCC (2014)"
"1844",9004.58,1.374,"2015","IPCC (2014)"
"1845",8949.12,1.806,"2020","IPCC (2014)"
"1846",8741.44,2.813,"2025","IPCC (2014)"
"1847",8343.78,4.705,"2030","IPCC (2014)"
"1848",7832.84,7.508,"2035","IPCC (2014)"
"1849",7290.04,11.27,"2040","IPCC (2014)"
"1850",6764.94,16.04,"2045","IPCC (2014)"
"1851",6257.54,22.12,"2050","IPCC (2014)"
"1852",5219.14,42.51,"2060","IPCC (2014)"
"1853",4100.5,92.66,"2070","IPCC (2014)"
"1854",3209.6,193.1,"2080","IPCC (2014)"
"1855",2603.08,358,"2090","IPCC (2014)"
"1856",2316.34,502.6,"2100","IPCC (2014)"
"1857",3278.79090909091,22.98,"2020","IPCC (2014)"
"1858",3014.9,22.98,"2030","IPCC (2014)"
"1859",2834.36,26.38,"2040","IPCC (2014)"
"1860",2715.71636363636,26.38,"2050","IPCC (2014)"
"1861",2637.3,26.38,"2060","IPCC (2014)"
"1862",2584.2,28.93,"2070","IPCC (2014)"
"1863",2549.98,28.93,"2080","IPCC (2014)"
"1864",2528.74,28.93,"2090","IPCC (2014)"
"1865",2514.58,30.992,"2100","IPCC (2014)"
"1866",2425.86545454545,22.98,"2020","IPCC (2014)"
"1867",1923.07818181818,31.608,"2030","IPCC (2014)"
"1868",1630.33090909091,158.387,"2040","IPCC (2014)"
"1869",1464.48727272727,507.436,"2050","IPCC (2014)"
"1870",1369.98,1262.103,"2060","IPCC (2014)"
"1871",1314.52,2506.934,"2070","IPCC (2014)"
"1872",1283.84,4043.291,"2080","IPCC (2014)"
"1873",1267.32,5354.48,"2090","IPCC (2014)"
"1874",1256.7,6988.693,"2100","IPCC (2014)"
"1875",2425.86545454545,33.001,"2020","IPCC (2014)"
"1876",1923.07818181818,109.485,"2030","IPCC (2014)"
"1877",1630.33090909091,504.57,"2040","IPCC (2014)"
"1878",1464.48727272727,1509.069,"2050","IPCC (2014)"
"1879",1369.98,3375.057,"2060","IPCC (2014)"
"1880",1314.52,5478.776,"2070","IPCC (2014)"
"1881",1283.84,8496.314,"2080","IPCC (2014)"
"1882",1267.32,11997.29,"2090","IPCC (2014)"
"1883",1256.7,16351.292,"2100","IPCC (2014)"
"1884",2425.86545454545,38.791,"2020","IPCC (2014)"
"1885",1923.07818181818,149.859,"2030","IPCC (2014)"
"1886",1630.33090909091,594.177,"2040","IPCC (2014)"
"1887",1464.48727272727,1579.272,"2050","IPCC (2014)"
"1888",1369.98,3488.695,"2060","IPCC (2014)"
"1889",1314.52,5808.114,"2070","IPCC (2014)"
"1890",1283.84,8786.188,"2080","IPCC (2014)"
"1891",1267.32,12792.439,"2090","IPCC (2014)"
"1892",1256.7,17617.66,"2100","IPCC (2014)"
"1893",2425.86545454545,22.98,"2020","IPCC (2014)"
"1894",1923.07818181818,22.98,"2030","IPCC (2014)"
"1895",1630.33090909091,27.93,"2040","IPCC (2014)"
"1896",1464.48727272727,33.649,"2050","IPCC (2014)"
"1897",1369.98,75.982,"2060","IPCC (2014)"
"1898",1314.52,229.652,"2070","IPCC (2014)"
"1899",1283.84,519.981,"2080","IPCC (2014)"
"1900",1267.32,808.576,"2090","IPCC (2014)"
"1901",1256.7,1118.548,"2100","IPCC (2014)"
"1902",2425.86545454545,99.492,"2020","IPCC (2014)"
"1903",1923.07818181818,129.759,"2030","IPCC (2014)"
"1904",1630.33090909091,301.574,"2040","IPCC (2014)"
"1905",1464.48727272727,698.116,"2050","IPCC (2014)"
"1906",1369.98,1637.283,"2060","IPCC (2014)"
"1907",1314.52,3367.985,"2070","IPCC (2014)"
"1908",1283.84,5110.046,"2080","IPCC (2014)"
"1909",1267.32,7131.306,"2090","IPCC (2014)"
"1910",1256.7,10271.781,"2100","IPCC (2014)"
"1911",8536.52735351562,21.3854975585938,"2010","IPCC (2014)"
"1912",5676.40440429687,124.051812011719,"2020","IPCC (2014)"
"1913",2509.818515625,1712.62200732422,"2030","IPCC (2014)"
"1914",1691.81218017578,3577.60113232422,"2040","IPCC (2014)"
"1915",1520.62661865234,5268.84463232422,"2050","IPCC (2014)"
"1916",1463.47166503906,7217.15463232422,"2060","IPCC (2014)"
"1917",1420.52395751953,9503.65413232422,"2070","IPCC (2014)"
"1918",1391.33552246094,12062.3031323242,"2080","IPCC (2014)"
"1919",1372.06156494141,14931.0101323242,"2090","IPCC (2014)"
"1920",1359.28192871094,18124.9771323242,"2100","IPCC (2014)"
"1921",8536.52735351562,21.8088959960937,"2010","IPCC (2014)"
"1922",5602.68897460937,140.543538574219,"2020","IPCC (2014)"
"1923",2735.22012207031,1133.55713232422,"2030","IPCC (2014)"
"1924",1725.30793212891,3312.34038232422,"2040","IPCC (2014)"
"1925",1504.11727783203,6070.22363232422,"2050","IPCC (2014)"
"1926",1421.57302246094,9149.10513232422,"2060","IPCC (2014)"
"1927",1378.54695556641,12720.0541323242,"2070","IPCC (2014)"
"1928",1354.27902832031,16816.6431323242,"2080","IPCC (2014)"
"1929",1340.08056884766,21483.1651323242,"2090","IPCC (2014)"
